"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Boston city, Massachusetts!!Estimate","Boston city, Massachusetts!!Margin of Error","Brockton city, Massachusetts!!Estimate","Brockton city, Massachusetts!!Margin of Error","Cambridge city, Massachusetts!!Estimate","Cambridge city, Massachusetts!!Margin of Error","Fall River city, Massachusetts!!Estimate","Fall River city, Massachusetts!!Margin of Error","Framingham CDP, Massachusetts!!Estimate","Framingham CDP, Massachusetts!!Margin of Error","Lawrence city, Massachusetts!!Estimate","Lawrence city, Massachusetts!!Margin of Error","Lowell city, Massachusetts!!Estimate","Lowell city, Massachusetts!!Margin of Error","Lynn city, Massachusetts!!Estimate","Lynn city, Massachusetts!!Margin of Error","New Bedford city, Massachusetts!!Estimate","New Bedford city, Massachusetts!!Margin of Error","Newton city, Massachusetts!!Estimate","Newton city, Massachusetts!!Margin of Error","Quincy city, Massachusetts!!Estimate","Quincy city, Massachusetts!!Margin of Error","Somerville city, Massachusetts!!Estimate","Somerville city, Massachusetts!!Margin of Error","Springfield city, Massachusetts!!Estimate","Springfield city, Massachusetts!!Margin of Error","Worcester city, Massachusetts!!Estimate","Worcester city, Massachusetts!!Margin of Error"
"Total:","6,811,779","*****","672,840","±3,173","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Not Hispanic or Latino","6,032,083","±1,053","544,377","±4,361","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Hispanic or Latino:","779,696","±1,053","128,463","±3,892","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Mexican","51,118","±6,205","7,229","±1,986","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Puerto Rican","319,042","±11,106","32,226","±4,816","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Cuban","11,209","±1,885","2,567","±1,190","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Dominican (Dominican Republic)","146,038","±9,594","33,265","±4,757","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Central American:","132,380","±9,982","29,778","±4,770","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Costa Rican","3,030","±1,285","831","±961","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Guatemalan","39,311","±6,238","7,188","±2,589","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Honduran","16,374","±3,995","4,619","±1,619","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Nicaraguan","2,563","±926","131","±168","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Panamanian","2,491","±937","755","±585","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Salvadoran","67,127","±9,342","15,345","±4,406","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Other Central American","1,484","±965","909","±919","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        South American:","79,677","±7,495","16,059","±3,859","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Argentinean","5,969","±1,641","687","±414","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Bolivian","1,873","±1,052","249","±205","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Chilean","2,960","±1,066","504","±453","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Colombian","36,072","±4,829","10,787","±3,495","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Ecuadorian","14,478","±3,906","1,406","±1,104","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Paraguayan","572","±298","0","±203","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Peruvian","9,083","±2,154","1,274","±782","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Uruguayan","2,512","±1,742","0","±203","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Venezuelan","5,704","±2,148","1,068","±567","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Other South American","454","±521","84","±140","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Other Hispanic or Latino:","40,232","±4,395","7,339","±2,200","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Spaniard","12,854","±2,221","1,985","±859","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Spanish","3,876","±1,241","624","±350","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Spanish American","174","±282","0","±203","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            All other Hispanic or Latino","23,328","±3,384","4,730","±1,855","","","","","","","","","","","","","","","","","","","","","","","","","",""
