"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Boston city, Massachusetts!!Estimate","Boston city, Massachusetts!!Margin of Error","Brockton city, Massachusetts!!Estimate","Brockton city, Massachusetts!!Margin of Error","Cambridge city, Massachusetts!!Estimate","Cambridge city, Massachusetts!!Margin of Error","Fall River city, Massachusetts!!Estimate","Fall River city, Massachusetts!!Margin of Error","Framingham CDP, Massachusetts!!Estimate","Framingham CDP, Massachusetts!!Margin of Error","Lawrence city, Massachusetts!!Estimate","Lawrence city, Massachusetts!!Margin of Error","Lowell city, Massachusetts!!Estimate","Lowell city, Massachusetts!!Margin of Error","Lynn city, Massachusetts!!Estimate","Lynn city, Massachusetts!!Margin of Error","New Bedford city, Massachusetts!!Estimate","New Bedford city, Massachusetts!!Margin of Error","Newton city, Massachusetts!!Estimate","Newton city, Massachusetts!!Margin of Error","Quincy city, Massachusetts!!Estimate","Quincy city, Massachusetts!!Margin of Error","Somerville city, Massachusetts!!Estimate","Somerville city, Massachusetts!!Margin of Error","Springfield city, Massachusetts!!Estimate","Springfield city, Massachusetts!!Margin of Error","Worcester city, Massachusetts!!Estimate","Worcester city, Massachusetts!!Margin of Error"
"Total:","6,794,422","*****","669,469","±2,608","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Not Hispanic or Latino","6,036,474","±675","538,813","±4,014","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Hispanic or Latino:","757,948","±675","130,656","±3,042","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Mexican","50,586","±5,843","6,834","±1,745","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Puerto Rican","317,142","±11,460","37,324","±5,057","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Cuban","11,945","±2,182","2,887","±903","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Dominican (Dominican Republic)","132,864","±8,527","32,126","±5,116","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Central American:","119,409","±9,509","25,985","±4,832","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Costa Rican","3,340","±1,182","756","±440","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Guatemalan","40,526","±6,503","4,435","±2,141","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Honduran","16,154","±4,059","4,125","±1,591","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Nicaraguan","1,721","±651","532","±360","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Panamanian","2,178","±790","879","±492","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Salvadoran","54,631","±8,808","14,980","±3,846","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Other Central American","859","±795","278","±280","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        South American:","83,949","±7,761","16,507","±3,507","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Argentinean","7,508","±2,229","957","±561","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Bolivian","1,492","±1,051","290","±306","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Chilean","4,264","±1,999","443","±326","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Colombian","33,492","±4,619","8,440","±2,676","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Ecuadorian","15,056","±4,475","1,233","±825","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Paraguayan","505","±543","171","±218","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Peruvian","12,714","±3,913","3,571","±1,847","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Uruguayan","2,271","±1,275","36","±61","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Venezuelan","6,566","±2,118","1,366","±700","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Other South American","81","±134","0","±200","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Other Hispanic or Latino:","42,053","±5,613","8,993","±2,356","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Spaniard","13,317","±3,354","2,218","±866","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Spanish","4,626","±1,506","1,378","±995","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Spanish American","46","±82","0","±200","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            All other Hispanic or Latino","24,064","±3,806","5,397","±1,943","","","","","","","","","","","","","","","","","","","","","","","","","",""
