"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Boston city, Massachusetts!!Estimate","Boston city, Massachusetts!!Margin of Error","Brockton city, Massachusetts!!Estimate","Brockton city, Massachusetts!!Margin of Error","Cambridge city, Massachusetts!!Estimate","Cambridge city, Massachusetts!!Margin of Error","Fall River city, Massachusetts!!Estimate","Fall River city, Massachusetts!!Margin of Error","Framingham CDP, Massachusetts!!Estimate","Framingham CDP, Massachusetts!!Margin of Error","Lawrence city, Massachusetts!!Estimate","Lawrence city, Massachusetts!!Margin of Error","Lowell city, Massachusetts!!Estimate","Lowell city, Massachusetts!!Margin of Error","Lynn city, Massachusetts!!Estimate","Lynn city, Massachusetts!!Margin of Error","New Bedford city, Massachusetts!!Estimate","New Bedford city, Massachusetts!!Margin of Error","Newton city, Massachusetts!!Estimate","Newton city, Massachusetts!!Margin of Error","Quincy city, Massachusetts!!Estimate","Quincy city, Massachusetts!!Margin of Error","Somerville city, Massachusetts!!Estimate","Somerville city, Massachusetts!!Margin of Error","Springfield city, Massachusetts!!Estimate","Springfield city, Massachusetts!!Margin of Error","Worcester city, Massachusetts!!Estimate","Worcester city, Massachusetts!!Margin of Error"
"Total:","6,692,824","*****","644,710","±3,772","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Not Hispanic or Latino","5,989,145","*****","523,214","±4,755","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Hispanic or Latino:","703,679","*****","121,496","±4,898","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Mexican","40,899","±4,589","5,954","±1,860","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Puerto Rican","283,568","±11,242","28,131","±4,012","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Cuban","15,636","±3,278","3,154","±1,187","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Dominican (Dominican Republic)","151,504","±9,785","38,234","±4,962","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Central American:","114,702","±9,790","28,489","±5,264","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Costa Rican","2,742","±1,748","323","±269","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Guatemalan","38,460","±6,511","5,878","±2,420","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Honduran","14,990","±3,731","4,232","±1,964","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Nicaraguan","1,036","±581","217","±279","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Panamanian","3,095","±1,069","1,422","±935","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Salvadoran","53,295","±7,396","15,333","±3,980","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Other Central American","1,084","±1,002","1,084","±1,002","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        South American:","66,550","±6,819","12,776","±2,636","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Argentinean","3,795","±1,364","683","±452","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Bolivian","2,493","±1,834","108","±123","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Chilean","4,427","±1,661","413","±255","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Colombian","30,117","±5,602","8,257","±2,425","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Ecuadorian","7,412","±2,400","322","±393","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Paraguayan","185","±188","60","±83","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Peruvian","11,752","±2,997","1,239","±636","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Uruguayan","1,829","±1,011","36","±60","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Venezuelan","4,107","±1,543","1,303","±983","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Other South American","433","±349","355","±363","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Other Hispanic or Latino:","30,820","±4,288","4,758","±1,639","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Spaniard","8,306","±1,900","1,186","±625","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Spanish","7,590","±2,561","1,084","±686","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Spanish American","150","±243","0","±203","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            All other Hispanic or Latino","14,774","±2,467","2,488","±1,158","","","","","","","","","","","","","","","","","","","","","","","","","",""
