"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Boston city, Massachusetts!!Estimate","Boston city, Massachusetts!!Margin of Error","Brockton city, Massachusetts!!Estimate","Brockton city, Massachusetts!!Margin of Error","Cambridge city, Massachusetts!!Estimate","Cambridge city, Massachusetts!!Margin of Error","Fall River city, Massachusetts!!Estimate","Fall River city, Massachusetts!!Margin of Error","Framingham CDP, Massachusetts!!Estimate","Framingham CDP, Massachusetts!!Margin of Error","Lawrence city, Massachusetts!!Estimate","Lawrence city, Massachusetts!!Margin of Error","Lowell city, Massachusetts!!Estimate","Lowell city, Massachusetts!!Margin of Error","Lynn city, Massachusetts!!Estimate","Lynn city, Massachusetts!!Margin of Error","New Bedford city, Massachusetts!!Estimate","New Bedford city, Massachusetts!!Margin of Error","Newton city, Massachusetts!!Estimate","Newton city, Massachusetts!!Margin of Error","Quincy city, Massachusetts!!Estimate","Quincy city, Massachusetts!!Margin of Error","Somerville city, Massachusetts!!Estimate","Somerville city, Massachusetts!!Margin of Error","Springfield city, Massachusetts!!Estimate","Springfield city, Massachusetts!!Margin of Error","Worcester city, Massachusetts!!Estimate","Worcester city, Massachusetts!!Margin of Error"
"Total:","6,646,144","*****","637,516","±2,304","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Not Hispanic or Latino","5,972,259","±1,080","518,942","±4,002","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Hispanic or Latino:","673,885","±1,080","118,574","±3,752","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Mexican","40,973","±5,140","9,555","±2,238","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Puerto Rican","282,795","±11,700","37,962","±4,081","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Cuban","12,758","±2,814","1,590","±639","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Dominican (Dominican Republic)","121,552","±8,403","25,230","±3,348","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Central American:","119,228","±10,408","25,845","±4,641","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Costa Rican","5,558","±2,089","1,289","±1,024","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Guatemalan","36,009","±6,526","3,586","±1,925","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Honduran","18,375","±4,155","4,739","±1,921","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Nicaraguan","1,326","±692","539","±543","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Panamanian","1,911","±827","271","±193","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Salvadoran","54,731","±7,762","14,258","±3,172","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Other Central American","1,318","±1,741","1,163","±1,737","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        South American:","64,642","±7,408","11,671","±2,703","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Argentinean","5,037","±1,817","750","±574","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Bolivian","1,364","±1,289","57","±95","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Chilean","4,287","±1,424","492","±439","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Colombian","26,579","±5,184","6,670","±2,211","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Ecuadorian","9,303","±2,516","1,067","±603","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Paraguayan","789","±619","0","±195","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Peruvian","10,100","±3,021","1,642","±999","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Uruguayan","3,229","±1,636","0","±195","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Venezuelan","3,884","±1,086","993","±579","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Other South American","70","±116","0","±195","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Other Hispanic or Latino:","31,937","±4,323","6,721","±1,902","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Spaniard","9,286","±1,864","1,233","±517","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Spanish","3,894","±1,324","1,066","±725","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Spanish American","0","±195","0","±195","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            All other Hispanic or Latino","18,757","±3,317","4,422","±1,734","","","","","","","","","","","","","","","","","","","","","","","","","",""
