"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Boston city, Massachusetts!!Estimate","Boston city, Massachusetts!!Margin of Error","Brockton city, Massachusetts!!Estimate","Brockton city, Massachusetts!!Margin of Error","Cambridge city, Massachusetts!!Estimate","Cambridge city, Massachusetts!!Margin of Error","Fall River city, Massachusetts!!Estimate","Fall River city, Massachusetts!!Margin of Error","Framingham CDP, Massachusetts!!Estimate","Framingham CDP, Massachusetts!!Margin of Error","Lawrence city, Massachusetts!!Estimate","Lawrence city, Massachusetts!!Margin of Error","Lowell city, Massachusetts!!Estimate","Lowell city, Massachusetts!!Margin of Error","Lynn city, Massachusetts!!Estimate","Lynn city, Massachusetts!!Margin of Error","New Bedford city, Massachusetts!!Estimate","New Bedford city, Massachusetts!!Margin of Error","Newton city, Massachusetts!!Estimate","Newton city, Massachusetts!!Margin of Error","Quincy city, Massachusetts!!Estimate","Quincy city, Massachusetts!!Margin of Error","Somerville city, Massachusetts!!Estimate","Somerville city, Massachusetts!!Margin of Error","Springfield city, Massachusetts!!Estimate","Springfield city, Massachusetts!!Margin of Error","Worcester city, Massachusetts!!Estimate","Worcester city, Massachusetts!!Margin of Error"
"Total:","6,745,408","*****","656,051","±2,875","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Not Hispanic or Latino","6,015,314","±984","533,709","±4,584","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Hispanic or Latino:","730,094","±984","122,342","±4,103","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Mexican","39,223","±5,673","6,432","±1,775","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Puerto Rican","308,028","±9,833","33,024","±4,503","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Cuban","12,313","±2,394","2,187","±856","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Dominican (Dominican Republic)","133,321","±9,363","33,677","±4,242","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Central American:","130,265","±9,884","30,126","±4,367","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Costa Rican","2,303","±1,173","944","±894","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Guatemalan","53,732","±6,968","7,677","±2,675","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Honduran","19,225","±4,428","4,452","±2,154","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Nicaraguan","1,854","±855","55","±91","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Panamanian","3,137","±1,322","1,413","±1,006","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Salvadoran","48,162","±7,799","14,480","±3,534","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Other Central American","1,852","±1,273","1,105","±996","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        South American:","77,683","±8,122","11,677","±2,716","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Argentinean","3,671","±1,036","395","±322","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Bolivian","3,225","±1,862","43","±70","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Chilean","6,181","±2,154","378","±336","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Colombian","33,440","±5,065","6,809","±2,171","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Ecuadorian","9,283","±2,865","133","±144","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Paraguayan","624","±659","0","±198","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Peruvian","10,504","±2,886","2,025","±1,512","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Uruguayan","3,237","±2,002","0","±198","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Venezuelan","6,950","±3,208","1,742","±1,011","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Other South American","568","±440","152","±251","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Other Hispanic or Latino:","29,261","±4,445","5,219","±1,613","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Spaniard","10,165","±2,878","1,794","±675","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Spanish","4,503","±1,800","690","±691","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Spanish American","495","±703","495","±703","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            All other Hispanic or Latino","14,098","±2,563","2,240","±927","","","","","","","","","","","","","","","","","","","","","","","","","",""
