"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Boston city, Massachusetts!!Estimate","Boston city, Massachusetts!!Margin of Error","Brockton city, Massachusetts!!Estimate","Brockton city, Massachusetts!!Margin of Error","Cambridge city, Massachusetts!!Estimate","Cambridge city, Massachusetts!!Margin of Error","Fall River city, Massachusetts!!Estimate","Fall River city, Massachusetts!!Margin of Error","Framingham CDP, Massachusetts!!Estimate","Framingham CDP, Massachusetts!!Margin of Error","Lawrence city, Massachusetts!!Estimate","Lawrence city, Massachusetts!!Margin of Error","Lowell city, Massachusetts!!Estimate","Lowell city, Massachusetts!!Margin of Error","Lynn city, Massachusetts!!Estimate","Lynn city, Massachusetts!!Margin of Error","New Bedford city, Massachusetts!!Estimate","New Bedford city, Massachusetts!!Margin of Error","Newton city, Massachusetts!!Estimate","Newton city, Massachusetts!!Margin of Error","Quincy city, Massachusetts!!Estimate","Quincy city, Massachusetts!!Margin of Error","Somerville city, Massachusetts!!Estimate","Somerville city, Massachusetts!!Margin of Error","Springfield city, Massachusetts!!Estimate","Springfield city, Massachusetts!!Margin of Error","Worcester city, Massachusetts!!Estimate","Worcester city, Massachusetts!!Margin of Error"
"Total:","6,859,819","*****","683,015","±2,627","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Not Hispanic or Latino","6,048,527","±150","543,522","±4,934","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Hispanic or Latino:","811,292","±150","139,493","±4,338","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Mexican","39,319","±4,426","6,667","±1,730","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Puerto Rican","334,959","±13,587","42,151","±5,369","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Cuban","18,517","±3,726","2,672","±1,145","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Dominican (Dominican Republic)","172,577","±11,000","42,573","±5,642","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Central American:","125,617","±10,671","21,316","±4,853","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Costa Rican","3,753","±2,005","1,567","±1,480","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Guatemalan","42,110","±6,702","3,116","±1,703","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Honduran","12,971","±3,751","2,403","±1,616","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Nicaraguan","2,141","±999","628","±490","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Panamanian","3,753","±1,499","719","±462","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Salvadoran","59,943","±8,391","12,501","±3,757","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Other Central American","946","±867","382","±483","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        South American:","83,419","±9,224","17,430","±4,048","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Argentinean","5,417","±1,708","612","±375","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Bolivian","3,035","±1,319","0","±210","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Chilean","3,730","±1,259","884","±637","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Colombian","37,021","±7,768","11,858","±3,905","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Ecuadorian","14,790","±4,365","963","±663","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Paraguayan","664","±462","0","±210","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Peruvian","8,761","±2,168","1,825","±801","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Uruguayan","2,803","±1,623","98","±115","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Venezuelan","7,131","±2,346","1,190","±799","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Other South American","67","±113","0","±210","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Other Hispanic or Latino:","36,884","±4,732","6,684","±1,811","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Spaniard","10,331","±2,609","1,763","±865","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Spanish","4,613","±1,725","594","±317","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Spanish American","0","±210","0","±210","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            All other Hispanic or Latino","21,940","±3,303","4,327","±1,492","","","","","","","","","","","","","","","","","","","","","","","","","",""
