"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Boston city, Massachusetts!!Estimate","Boston city, Massachusetts!!Margin of Error","Brockton city, Massachusetts!!Estimate","Brockton city, Massachusetts!!Margin of Error","Cambridge city, Massachusetts!!Estimate","Cambridge city, Massachusetts!!Margin of Error","Fall River city, Massachusetts!!Estimate","Fall River city, Massachusetts!!Margin of Error","Framingham city, Massachusetts!!Estimate","Framingham city, Massachusetts!!Margin of Error","Lawrence city, Massachusetts!!Estimate","Lawrence city, Massachusetts!!Margin of Error","Lowell city, Massachusetts!!Estimate","Lowell city, Massachusetts!!Margin of Error","Lynn city, Massachusetts!!Estimate","Lynn city, Massachusetts!!Margin of Error","New Bedford city, Massachusetts!!Estimate","New Bedford city, Massachusetts!!Margin of Error","Newton city, Massachusetts!!Estimate","Newton city, Massachusetts!!Margin of Error","Quincy city, Massachusetts!!Estimate","Quincy city, Massachusetts!!Margin of Error","Somerville city, Massachusetts!!Estimate","Somerville city, Massachusetts!!Margin of Error","Springfield city, Massachusetts!!Estimate","Springfield city, Massachusetts!!Margin of Error","Worcester city, Massachusetts!!Estimate","Worcester city, Massachusetts!!Margin of Error"
"Total:","6,902,149","*****","695,926","±3,776","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Not Hispanic or Latino","6,055,369","±1,447","556,739","±6,804","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Hispanic or Latino:","846,780","±1,447","139,187","±4,811","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Mexican","51,415","±7,336","9,158","±2,121","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Puerto Rican","329,713","±12,035","32,807","±4,791","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Cuban","14,621","±2,825","3,137","±1,037","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Dominican (Dominican Republic)","167,333","±10,366","41,908","±5,545","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Central American:","145,023","±12,216","24,931","±4,651","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Costa Rican","2,889","±1,078","750","±560","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Guatemalan","47,932","±7,628","4,722","±2,983","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Honduran","17,454","±3,744","3,215","±2,022","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Nicaraguan","1,236","±694","456","±588","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Panamanian","4,638","±2,963","458","±416","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Salvadoran","66,430","±8,100","12,145","±3,343","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Other Central American","4,444","±2,735","3,185","±2,227","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        South American:","94,940","±9,282","18,448","±4,344","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Argentinean","6,206","±1,834","533","±381","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Bolivian","1,190","±913","43","±71","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Chilean","3,648","±1,474","339","±308","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Colombian","42,112","±6,857","11,291","±3,522","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Ecuadorian","15,828","±3,979","2,183","±1,336","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Paraguayan","679","±521","217","±187","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Peruvian","10,569","±2,697","916","±533","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Uruguayan","2,289","±1,211","58","±95","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Venezuelan","11,900","±4,197","2,595","±1,435","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Other South American","519","±433","273","±360","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Other Hispanic or Latino:","43,735","±5,482","8,798","±2,528","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Spaniard","12,744","±2,718","1,539","±749","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Spanish","4,698","±1,494","881","±483","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Spanish American","0","±211","0","±211","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            All other Hispanic or Latino","26,293","±4,747","6,378","±2,459","","","","","","","","","","","","","","","","","","","","","","","","","",""
