"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Boston city, Massachusetts!!Estimate","Boston city, Massachusetts!!Margin of Error","Brockton city, Massachusetts!!Estimate","Brockton city, Massachusetts!!Margin of Error","Cambridge city, Massachusetts!!Estimate","Cambridge city, Massachusetts!!Margin of Error","Fall River city, Massachusetts!!Estimate","Fall River city, Massachusetts!!Margin of Error","Framingham CDP, Massachusetts!!Estimate","Framingham CDP, Massachusetts!!Margin of Error","Lawrence city, Massachusetts!!Estimate","Lawrence city, Massachusetts!!Margin of Error","Lowell city, Massachusetts!!Estimate","Lowell city, Massachusetts!!Margin of Error","Lynn city, Massachusetts!!Estimate","Lynn city, Massachusetts!!Margin of Error","New Bedford city, Massachusetts!!Estimate","New Bedford city, Massachusetts!!Margin of Error","Newton city, Massachusetts!!Estimate","Newton city, Massachusetts!!Margin of Error","Quincy city, Massachusetts!!Estimate","Quincy city, Massachusetts!!Margin of Error","Somerville city, Massachusetts!!Estimate","Somerville city, Massachusetts!!Margin of Error","Springfield city, Massachusetts!!Estimate","Springfield city, Massachusetts!!Margin of Error","Worcester city, Massachusetts!!Estimate","Worcester city, Massachusetts!!Margin of Error"
"Total:","6,557,254","*****","621,383","±2,359","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Not Hispanic or Latino","5,926,238","±448","516,516","±4,409","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Hispanic or Latino:","631,016","±448","104,867","±4,317","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Mexican","43,434","±5,503","5,895","±1,769","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Puerto Rican","262,804","±12,142","27,817","±4,773","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Cuban","12,527","±3,136","3,570","±1,842","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Dominican (Dominican Republic)","118,656","±8,137","29,270","±4,350","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Central American:","105,345","±10,413","20,958","±4,864","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Costa Rican","2,343","±1,111","497","±331","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Guatemalan","39,888","±7,434","3,709","±1,975","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Honduran","14,525","±4,432","4,461","±1,881","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Nicaraguan","3,711","±1,536","274","±352","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Panamanian","4,300","±1,995","1,269","±1,597","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Salvadoran","39,840","±6,615","10,498","±3,081","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Other Central American","738","±642","250","±319","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        South American:","64,530","±6,561","14,169","±3,631","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Argentinean","3,891","±1,399","542","±379","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Bolivian","1,444","±1,070","0","±285","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Chilean","4,207","±2,243","571","±472","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Colombian","30,852","±5,502","9,348","±3,308","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Ecuadorian","5,661","±2,362","367","±319","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Paraguayan","367","±351","126","±181","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Peruvian","8,586","±2,814","976","±1,067","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Uruguayan","3,062","±2,126","489","±564","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Venezuelan","6,132","±2,014","1,689","±919","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Other South American","328","±285","61","±105","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Other Hispanic or Latino:","23,720","±3,213","3,188","±1,027","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Spaniard","7,891","±1,788","386","±293","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Spanish","2,425","±791","385","±261","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Spanish American","284","±256","120","±143","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            All other Hispanic or Latino","13,120","±2,710","2,297","±942","","","","","","","","","","","","","","","","","","","","","","","","","",""
